citation_key,title,year,venue,identifier,pdf_file,origin_url,pages,sha256,admission_role,verification_note
estrin2024digital,"Access to digital finance: Equity crowdfunding across countries and platforms",2024,"PLOS ONE 19(1)","10.1371/journal.pone.0293292",papers/01_estrin_et_al_2024_access_to_digital_finance.pdf,https://doi.org/10.1371/journal.pone.0293292,17,b8c95b0f38975cb9bfe693b5fe44a7ea32e7576030cf02bf9cc428ed982125fb,direct,"UK subset is separable; released data contain successful pitches only"
wasti2024successive,"Role of successive round as a quality signal in equity crowdfunding: Novel evidence from the perspective of investors' preferences",2024,"PLOS ONE 19(3)","10.1371/journal.pone.0297820",papers/02_wasti_et_al_2024_successive_round_signal.pdf,https://doi.org/10.1371/journal.pone.0297820,16,4827a4a5c31d59e7d0e296f0984952781007b08ea7e3930221ff2d2f95c63e20,direct,"UK Crowdcube study; platform-specific and non-causal"
galanakis2026chrt,"Tracking the economy through firm creation: Evidence from real-time administrative data",2026,arXiv,"arXiv:2606.01307",papers/03_savagar_galanakis_2026_tracking_firm_creation.pdf,https://arxiv.org/abs/2606.01307,33,1ed8f006e0121594a7adad178592668c7cd47f272aa2bb3c2231872257d21e94,direct,"UK Companies House data; exact frozen analytical panel is not bundled"
hardman2023small,"Empirical evidence for the continuing need to think small first in UK company law",2023,"European Business Organization Law Review 24",10.1007/s40804-022-00258-y,papers/04_hardman_ramirez_santos_2023_think_small_first.pdf,https://doi.org/10.1007/s40804-022-00258-y,49,fb4f6db0aba6cf9d8b09bfd4f936be8980155915dc7b432556b883311935e2ba,direct,"UK register evidence; historical snapshot reconstruction caveat"
nikiforova2020quality,"User-oriented approach to data quality evaluation",2020,"Journal of Universal Computer Science 26(1)","26(1):107-126",papers/05_nikiforova_et_al_2020_user_oriented_data_quality.pdf,https://www.jucs.org/jucs_26_1/user_oriented_approach_to/jucs_26_01_0107_0126_nikiforova.pdf,20,017d96ae1392fc22cb817b1aadc8ec407dac84f2a254a8391301c55bdd0b6d52,supporting-method,"Companies House example supports use-case-specific quality contracts"
bradley2024synfintabs,"SynFinTabs: A dataset of synthetic financial tables for information and table extraction",2024,arXiv,"arXiv:2412.04262",papers/06_bradley_et_al_2024_synfintabs.pdf,https://arxiv.org/abs/2412.04262,12,60e7b6f40296943598d07bcfcf259f4a71af4143007adbae47fd3cda2d2728be,supporting-method,"Synthetic financial-table extraction evidence only"
mondal2025state,"Investigating the effect of state support on innovation pathways by tracking the legacy performance of firms involved in academic co-operations",2025,"Journal of Innovation and Knowledge 10",10.1016/j.jik.2025.100679,papers/07_mondal_mellor_2025_state_support_innovation_pathways.pdf,https://doi.org/10.1016/j.jik.2025.100679,12,0bf3e6212414932ebc0f9249b9a8d112ec1ad73f7dd08f35b43c497747162eba,direct,"UKRI and Companies House inputs; not an exactly reproducible causal estimate"
surak2026gateways,"Gateways, funnels, and stackers: How people hide property ownership through offshore structures",2026,"The British Journal of Sociology 77(2)",10.1111/1468-4446.70075,papers/08_surak_inkley_2026_gateways_funnels_stackers.pdf,https://doi.org/10.1111/1468-4446.70075,15,c2438d47c38d6f6177db7eacce629a435895208b047cf3760d1156cd777eb221,supporting-method,"Entity-linking method only; not early-stage performance evidence"
thorne2026funding,"Demystifying funding: Reconstructing a unified dataset of the UK funding lifecycle",2026,arXiv,"arXiv:2603.26426",papers/09_thorne_et_al_2026_uk_funding_lifecycle.pdf,https://arxiv.org/abs/2603.26426,9,90000d1f68bb6d82bcfe83271afd9b5433f671a22d9b74864a1833af028efaef,direct,"Released UK funding data inherit missingness and conservative incomplete links"
krasikov2020ready,"Is open data ready for use by enterprises? Learnings from corporate registers",2020,"Proceedings of DATA 2020",10.5220/0009875801090120,papers/10_krasikov_et_al_2020_open_data_ready_enterprises.pdf,https://doi.org/10.5220/0009875801090120,12,c4529fc7cb4e22c93cb8a561705246a87b85bdef1ef77499f8ad79171f27a5bb,supporting-method,"Use-case and content-fitness method; UK component only"
