id,citation_key,title,year,venue,doi_or_identifier,pdf_file,pdf_source_url,logical_pages,sha256,uk_scope,data_access_class,data_or_reconstruction_url,inclusion_role,access_caveat
1,estrin2024digital,"Access to digital finance: Equity crowdfunding across countries and platforms",2024,PLOS ONE,10.1371/journal.pone.0293292,papers/01_estrin_et_al_2024_access_to_digital_finance.pdf,https://doi.org/10.1371/journal.pone.0293292,17,b8c95b0f38975cb9bfe693b5fe44a7ea32e7576030cf02bf9cc428ed982125fb,"UK subset is explicitly separable: 1295 of 1872 released observations",A,https://doi.org/10.5281/zenodo.10183274,direct,"Released data contain successful pitches only; no failed campaigns or post-investment outcomes"
2,wasti2024successive,"Role of successive round as a quality signal in equity crowdfunding: Novel evidence from the perspective of investors' preferences",2024,PLOS ONE,10.1371/journal.pone.0297820,papers/02_wasti_et_al_2024_successive_round_signal.pdf,https://doi.org/10.1371/journal.pone.0297820,16,4827a4a5c31d59e7d0e296f0984952781007b08ea7e3930221ff2d2f95c63e20,"UK Crowdcube campaigns linked to Companies House director information",A,https://doi.org/10.1371/journal.pone.0297820.s001,direct,"Released workbook has no explicit jurisdiction column; UK scope follows the paper's platform and Companies House construction"
3,galanakis2026chrt,"Tracking the Economy through Firm Creation: Evidence from Real-Time Administrative Data",2026,arXiv,arXiv:2606.01307,papers/03_savagar_galanakis_2026_tracking_firm_creation.pdf,https://arxiv.org/abs/2606.01307,33,1ed8f006e0121594a7adad178592668c7cd47f272aa2bb3c2231872257d21e94,"Full population of UK-incorporated companies",B,https://asavagar.shinyapps.io/BusinessDynamicsDashboard/,direct,"CHRT can be reconstructed from public Companies House snapshots/API and the appendix; the paper's frozen analytical panel is not bundled here"
4,hardman2023small,"Empirical Evidence for the Continuing Need to 'Think Small First' in UK Company Law",2023,European Business Organization Law Review,10.1007/s40804-022-00258-y,papers/04_hardman_ramirez_santos_2023_think_small_first.pdf,https://doi.org/10.1007/s40804-022-00258-y,49,fb4f6db0aba6cf9d8b09bfd4f936be8980155915dc7b432556b883311935e2ba,"Entire live UK corporate register snapshot at 1 June 2021",B,https://github.com/guillemram97/companiesdata,direct,"Code/base results are public; recreating the exact historical snapshot depends on archived Companies House files"
5,nikiforova2020quality,"User-Oriented Approach to Data Quality Evaluation",2020,Journal of Universal Computer Science,"26(1):107-126",papers/05_nikiforova_et_al_2020_user_oriented_data_quality.pdf,https://www.jucs.org/jucs_26_1/user_oriented_approach_to/jucs_26_01_0107_0126_nikiforova.pdf,20,017d96ae1392fc22cb817b1aadc8ec407dac84f2a254a8391301c55bdd0b6d52,"Only the Companies House UK worked example and UK result column are used",B,https://download.companieshouse.gov.uk/en_output.html,supporting-method,"The exact historical extract is not frozen; the public source and executable validation rules are specified"
6,bradley2024synfintabs,"SynFinTabs: A Dataset of Synthetic Financial Tables for Information and Table Extraction",2024,arXiv,arXiv:2412.04262,papers/06_bradley_et_al_2024_synfintabs.pdf,https://arxiv.org/abs/2412.04262,12,60e7b6f40296943598d07bcfcf259f4a71af4143007adbae47fd3cda2d2728be,"Synthetic dataset; 40 percent Companies House-styled after sampling UK filings",A,https://huggingface.co/datasets/ethanbradley/synfintabs,supporting-method,"Synthetic values cannot support investment conclusions; use only for document-extraction training and evaluation"
7,mondal2025state,"Investigating the effect of state support on innovation pathways by tracking the legacy performance of firms involved in academic co-operations",2025,Journal of Innovation & Knowledge,10.1016/j.jik.2025.100679,papers/07_mondal_mellor_2025_state_support_innovation_pathways.pdf,https://doi.org/10.1016/j.jik.2025.100679,12,0bf3e6212414932ebc0f9249b9a8d112ec1ad73f7dd08f35b43c497747162eba,"UK firms in 266 AHRC and Innovate UK projects",B,https://gtr.ukri.org/,direct,"Raw sources are public; anonymised firm IDs and random-control seed are not released, so use results as design evidence rather than an exactly reproducible effect estimate"
8,surak2026gateways,"Gateways, funnels, and stackers: How people hide property ownership through offshore structures",2026,The British Journal of Sociology,10.1111/1468-4446.70075,papers/08_surak_inkley_2026_gateways_funnels_stackers.pdf,https://doi.org/10.1111/1468-4446.70075,15,c2438d47c38d6f6177db7eacce629a435895208b047cf3760d1156cd777eb221,"England and Wales property ownership linked through UK registers",B,https://www.gov.uk/guidance/hm-land-registry-overseas-companies-that-own-property-in-england-and-wales,supporting-method,"Not an early-stage performance study; included only for public-register entity linking and ownership-graph methods"
9,thorne2026funding,"Demystifying Funding: Reconstructing a Unified Dataset of the UK Funding Lifecycle",2026,arXiv,arXiv:2603.26426,papers/09_thorne_et_al_2026_uk_funding_lifecycle.pdf,https://arxiv.org/abs/2603.26426,9,90000d1f68bb6d82bcfe83271afd9b5433f671a22d9b74864a1833af028efaef,"UKRI opportunities applications panels awards organisations and outcomes",A,https://github.com/wrmthorne/GtR-Extended,direct,"Released snapshot inherits GtR missingness and has intentionally conservative incomplete links"
10,krasikov2020ready,"Is Open Data Ready for Use by Enterprises? Learnings from Corporate Registers",2020,DATA 2020,10.5220/0009875801090120,papers/10_krasikov_et_al_2020_open_data_ready_enterprises.pdf,https://www.scitepress.org/Papers/2020/98758/98758.pdf,12,c4529fc7cb4e22c93cb8a561705246a87b85bdef1ef77499f8ad79171f27a5bb,"Only the UK Companies House register component and general assessment method are used",B,https://download.companieshouse.gov.uk/en_output.html,supporting-method,"Cross-register aggregate findings are not treated as UK-specific empirical results"
