figure,key,filename,title,kind,source,sample,cutoff,sha256,textual_alternative
1,architecture-trust-boundaries,figure-01-architecture-trust-boundaries.svg,Evidence-first architecture and trust boundaries,flow diagram,docs/ARCHITECTURE.md and source contracts,8 bounded components,2025-06-30,c608997d4cc11594725de5f380ab09b873b2f81768ce0deb938f2f6e4a7b9ffb,"Flow from restricted submission through reviewed identity, immutable public snapshots, typed facts, quality, extraction, independent verification, and named human approval."
2,agent-workflow-wayfinder,figure-02-agent-workflow-wayfinder.svg,Bounded agent workflow,flow diagram,src/portfolio_agent/workflow.py,8 persisted stages,2025-06-30,aa103d3a59f340291b8a812071067a53d3aaff5c3e4fde0694879b135c134fea,"Eight stages: plan, resolve, collect, extract, normalize, verify, compose, review."
3,evidence-provenance-chain,figure-03-evidence-provenance-chain.svg,Claim-to-source provenance chain,flow diagram,Versioned repository contracts and deterministic synthetic fixtures,5 provenance links,2025-06-30,dbd2cdb9cb588eeee1862b29f5047bd1fa2d22388ee7b514ae62e071769395eb,"A claim links to a typed fact, exact locator, immutable snapshot, and source manifest."
4,identity-resolution-funnel,figure-04-identity-resolution-funnel.svg,Precision-first identity resolution,horizontal bar chart,Supplied workbook structural profile (counts only; no names or values),N=14 company columns,2025-06-30,d7b328713e32ecc40fa9e2428034e2549c9ec049585d81f0c9bb9a8fdcd878c3,"Of 14 structural company columns, 1 has an exact registry identifier and 14 require human identity review."
5,temporal-eligibility,figure-05-temporal-eligibility.svg,Claim-relative temporal eligibility,timeline,src/portfolio_agent/temporal.py,5 temporal checkpoints,2025-06-30,44618c48dd685aa408099dd57aec1b3eab3c78d51d3bc48e1feb9aa455be5751,"Timeline separates event, publication, retrieval, reporting cutoff, and claim verification. Evidence published after the cutoff is excluded."
6,source-coverage,figure-06-source-coverage.svg,Synthetic source coverage,horizontal bar chart,fixtures/synthetic_portfolio.json,N=31 evidence items,2025-06-30,788d6855c62f8281e191bfb095e88cbeac54d0dafb978c2b28186b19379e9036,"Evidence coverage contains 21 portfolio submission items, 10 synthetic public fixture items."
7,verification-outcomes,figure-07-verification-outcomes.svg,Verification outcomes,stacked bar chart,fixtures/synthetic_portfolio.json,N=16 claims,2025-06-30,f4586e7efc448c7a51d8df875ad6ef8ca950486b1cded54151289f2524b7e4a7,"Verification outcomes in the synthetic workflow: supported: 13, contradicted: 2, stale: 1"
8,missingness-quality-heatmap,figure-08-missingness-quality-heatmap.svg,Typed missingness profile,heatmap,fixtures/synthetic_portfolio.json,N=21 observations,2025-06-30,2f897b1157e361b88ca7d59decdeb6d1880915a6bcf92a95cc1227174faa8467,"Missingness heatmap with explicit states: observed 13, zero 2, blank 2, none_stated 1, not_applicable 1, not_found_publicly 1, not_reported 1"
9,quality-dispositions,figure-09-quality-dispositions.svg,Executable quality dispositions,horizontal bar chart,fixtures/synthetic_portfolio.json,N=2 explicit findings,2025-06-30,c686d619ee05165e66a620b0d3fa636104ed9d4e4ccd4dd68049ab225c764735,"Synthetic workflow quality dispositions: exclude 1, hold 1, warn 0."
10,ukri-lifecycle,figure-10-ukri-lifecycle.svg,UKRI/GtR grant lifecycle,timeline,fixtures/evidence/ukri_synthetic.json,5 expected lifecycle stages,2025-06-30,d04ed4ad93eb930537d4d7e319e5f93212b7fd73877723c49e3d65c3ee8cac85,"Lifecycle stages are opportunity, decision, award, project, and outcome."
11,cohort-context-five-number,figure-11-cohort-context-five-number.svg,Within-portfolio distribution context,five-number box plot,fixtures/visualisation_pack.json (illustrative synthetic within-portfolio distribution),N=8 synthetic values,2025-06-30,366ae460dc069fb9a0de400ad2279ed9f1350ca6c02f96a09019bbadd5efde9a,"Five-number plot for Illustrative synthetic within-portfolio employee distribution; N=8, minimum sample N=3, minimum value 12, Q1 20.00, median 27.5, Q3 43.50, maximum value 55 people. Illustrative synthetic data."
12,evaluation-condition-comparison,figure-12-evaluation-condition-comparison.svg,Controlled D0 condition comparison,grouped bar chart,fixtures/evaluation_manifest.json,N=14 synthetic cases,2025-06-30,ffb6101bac7cc0095fa2d9f071c266f1b84e53ae44f41f507c2750198da2c757,"D0 synthetic evaluation with 14 cases. Single-agent ablation precision 0.45, recall 1.00, verification accuracy 0.57. Multi-agent verification precision 1.00, recall 1.00, verification accuracy 1.00. These are synthetic functional results, not general performance claims."
13,extraction-attempt-outcomes,figure-13-extraction-attempt-outcomes.svg,Extraction attempt outcomes,horizontal bar chart,fixtures/synthetic_portfolio.json,N=9 attempts,2025-06-30,2a4893d2f50ed0a3e4d410e2fbb2f0a21a00953a22cd0e2e1f15901fccd8d10f,"Synthetic deterministic extraction attempts: succeeded 9, abstained 0, rejected 0, failed 0."
14,extraction-abstention-decision,figure-14-extraction-abstention-decision.svg,Hierarchical extraction and abstention,flow diagram,src/portfolio_agent/document_extraction.py,5 decision points,2025-06-30,c6fcaedf1268b8fa37809292b09232381cc96753de0669a1712dcf92de54e5ab,"The extractor searches structured fields, preserves exact locators and sign or scale, checks periods, validates, and abstains when evidence is absent or ambiguous."
15,report-review-state-machine,figure-15-report-review-state-machine.svg,Approval-gated export states,timeline,src/portfolio_agent/reporting.py,5 report states,2025-06-30,34ef0a1768f103f3acfd3abf76b839740020e837e8d230477123985f3bf64c16,"Report states progress from draft to pending review, approved, exporting, and exported."
